# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	16705	17292	-							ELD05_RS00075	588		old_locus_tag=ELD05_00075
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	16705	17292	-	WP_127350839.1	WP_127350839.1		class I SAM-dependent methyltransferase			ELD05_RS00075	588	195	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	17277	19976	-							ELD05_RS00080	2700		old_locus_tag=ELD05_00080
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	17277	19976	-	WP_127350840.1	WP_127350840.1		DEAD/DEAH box helicase family protein			ELD05_RS00080	2700	899	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	20244	22571	+							ELD05_RS00085	2328		old_locus_tag=ELD05_00085
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	20244	22571	+	WP_127350841.1	WP_127350841.1		AAA family ATPase			ELD05_RS00085	2328	775	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	22629	22982	+							ELD05_RS00090	354		old_locus_tag=ELD05_00090
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	22629	22982	+	WP_241243532.1	WP_241243532.1		alpha-amylase family glycosyl hydrolase			ELD05_RS00090	354	117	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	23058	24275	+							ELD05_RS00095	1218		old_locus_tag=ELD05_00095
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	23058	24275	+	WP_127352891.1	WP_127352891.1		RNA-guided endonuclease TnpB family protein			ELD05_RS00095	1218	405	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	24314	24568	+							ELD05_RS00100	255		old_locus_tag=ELD05_00100
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	24314	24568	+	WP_127350843.1	WP_127350843.1		alpha-glucosidase C-terminal domain-containing protein			ELD05_RS00100	255	84	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	24675	27722	+							ELD05_RS00105	3048		old_locus_tag=ELD05_00105
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	24675	27722	+	WP_127350844.1	WP_127350844.1		EAL domain-containing protein			ELD05_RS00105	3048	1015	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	27929	28324	+							ELD05_RS00110	396		old_locus_tag=ELD05_00110
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	27929	28324	+	WP_127350845.1	WP_127350845.1		hypothetical protein			ELD05_RS00110	396	131	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	28416	28676	-							ELD05_RS00115	261		old_locus_tag=ELD05_00115
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	28416	28676	-	WP_011915650.1	WP_011915650.1		stage V sporulation protein S			ELD05_RS00115	261	86	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	28851	29567	+							ELD05_RS00120	717		old_locus_tag=ELD05_00120
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	28851	29567	+	WP_241243533.1	WP_241243533.1		hypothetical protein			ELD05_RS00120	717	238	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	29610	30119	+							ELD05_RS00125	510		old_locus_tag=ELD05_00125
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	29610	30119	+	WP_127350846.1	WP_127350846.1		hypothetical protein			ELD05_RS00125	510	169	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	30214	31029	+							ELD05_RS00130	816		old_locus_tag=ELD05_00130
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	30214	31029	+	WP_127350847.1	WP_127350847.1		hypothetical protein			ELD05_RS00130	816	271	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	31081	31680	-							ELD05_RS14175	600		
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	31081	31680	-	WP_241243534.1	WP_241243534.1		hypothetical protein			ELD05_RS14175	600	199	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	31658	32638	-							ELD05_RS00140	981		old_locus_tag=ELD05_00140
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	31658	32638	-	WP_241243660.1	WP_241243660.1		UvrD-helicase domain-containing protein			ELD05_RS00140	981	326	
gene	pseudogene	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	32909	33187	-							ELD05_RS14180	279		partial;pseudo;old_locus_tag=ELD05_00145
CDS	without_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	32909	33187	-				hypothetical protein			ELD05_RS14180	279		partial;pseudo
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	33538	33930	-							ELD05_RS00150	393		old_locus_tag=ELD05_00150
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	33538	33930	-	WP_127350849.1	WP_127350849.1		PIN domain-containing protein			ELD05_RS00150	393	130	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	33914	34165	-							ELD05_RS00155	252		old_locus_tag=ELD05_00155
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	33914	34165	-	WP_127350850.1	WP_127350850.1		hypothetical protein			ELD05_RS00155	252	83	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	35260	36651	+							ELD05_RS00160	1392		old_locus_tag=ELD05_00160
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	35260	36651	+	WP_127350851.1	WP_127350851.1		ATP-binding protein			ELD05_RS00160	1392	463	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	38005	40446	+					cas10		ELD05_RS00170	2442		old_locus_tag=ELD05_00170
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	38005	40446	+	WP_164742548.1	WP_164742548.1		type III-A CRISPR-associated protein Cas10/Csm1	cas10		ELD05_RS00170	2442	813	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	40455	41075	+					csm2		ELD05_RS00175	621		old_locus_tag=ELD05_00175
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	40455	41075	+	WP_127350853.1	WP_127350853.1		type III-A CRISPR-associated protein Csm2	csm2		ELD05_RS00175	621	206	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	41109	41825	+					csm3		ELD05_RS00180	717		old_locus_tag=ELD05_00180
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	41109	41825	+	WP_206516899.1	WP_206516899.1		type III-A CRISPR-associated RAMP protein Csm3	csm3		ELD05_RS00180	717	238	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	41853	42788	+							ELD05_RS00185	936		old_locus_tag=ELD05_00185
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	41853	42788	+	WP_127350854.1	WP_127350854.1		hypothetical protein			ELD05_RS00185	936	311	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	42785	43987	+							ELD05_RS00190	1203		old_locus_tag=ELD05_00190
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	42785	43987	+	WP_127350855.1	WP_127350855.1		hypothetical protein			ELD05_RS00190	1203	400	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	43991	44728	+					cas6		ELD05_RS00195	738		old_locus_tag=ELD05_00195
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	43991	44728	+	WP_127350856.1	WP_127350856.1		CRISPR-associated endoribonuclease Cas6	cas6		ELD05_RS00195	738	245	
gene	pseudogene	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	44783	46173	+					csx2		ELD05_RS00200	1391		pseudo;old_locus_tag=ELD05_00200
CDS	without_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	44783	46173	+				TIGR02221 family CRISPR-associated protein	csx2		ELD05_RS00200	1391		pseudo
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	47378	47632	-							ELD05_RS00210	255		old_locus_tag=ELD05_00210
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	47378	47632	-	WP_127350859.1	WP_127350859.1		hypothetical protein			ELD05_RS00210	255	84	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	47629	48651	-							ELD05_RS00215	1023		old_locus_tag=ELD05_00215
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	47629	48651	-	WP_241243535.1	WP_241243535.1		Rpn family recombination-promoting nuclease/putative transposase			ELD05_RS00215	1023	340	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	49974	50924	+							ELD05_RS00220	951		old_locus_tag=ELD05_00220
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	49974	50924	+	WP_127350860.1	WP_127350860.1		hypothetical protein			ELD05_RS00220	951	316	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	50929	52026	+							ELD05_RS00225	1098		old_locus_tag=ELD05_00225
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	50929	52026	+	WP_127352895.1	WP_127352895.1		DUF1848 domain-containing protein			ELD05_RS00225	1098	365	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	52297	52779	-							ELD05_RS14185	483		
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	52297	52779	-	WP_241243426.1	WP_241243426.1		IS110 family transposase			ELD05_RS14185	483	160	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	52802	53524	-							ELD05_RS14190	723		
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	52802	53524	-	WP_241243425.1	WP_241243425.1		IS110 family transposase			ELD05_RS14190	723	240	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	54170	55456	+							ELD05_RS00235	1287		old_locus_tag=ELD05_00235
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	54170	55456	+	WP_127350861.1	WP_127350861.1		IS110 family transposase			ELD05_RS00235	1287	428	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	56042	57460	+					csx1		ELD05_RS00240	1419		old_locus_tag=ELD05_00240
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	56042	57460	+	WP_127350862.1	WP_127350862.1		CRISPR-associated CARF protein Csx1	csx1		ELD05_RS00240	1419	472	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	57597	57938	-							ELD05_RS00245	342		old_locus_tag=ELD05_00245
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	57597	57938	-	WP_241243536.1	WP_241243536.1		hypothetical protein			ELD05_RS00245	342	113	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	58155	58493	-							ELD05_RS00250	339		old_locus_tag=ELD05_00250
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	58155	58493	-	WP_206516900.1	WP_206516900.1		hypothetical protein			ELD05_RS00250	339	112	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	58490	59719	-							ELD05_RS00255	1230		old_locus_tag=ELD05_00255
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	58490	59719	-	WP_011915673.1	WP_011915673.1		IS256-like element ISCsa2 family transposase			ELD05_RS00255	1230	409	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	59754	60479	-							ELD05_RS00260	726		old_locus_tag=ELD05_00260
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	59754	60479	-	WP_127350863.1	WP_127350863.1		Rpn family recombination-promoting nuclease/putative transposase			ELD05_RS00260	726	241	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	60727	61113	+							ELD05_RS14195	387		
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	60727	61113	+	WP_241243537.1	WP_241243537.1		hypothetical protein			ELD05_RS14195	387	128	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	61129	61551	+							ELD05_RS14200	423		
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	61129	61551	+	WP_241243538.1	WP_241243538.1		CRISPR-associated DxTHG motif protein			ELD05_RS14200	423	140	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	61560	61865	+							ELD05_RS14205	306		
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	61560	61865	+	WP_241243539.1	WP_241243539.1		hypothetical protein			ELD05_RS14205	306	101	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	62914	64299	+							ELD05_RS00270	1386		old_locus_tag=ELD05_00270
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	62914	64299	+	WP_127350864.1	WP_127350864.1		ATP-binding protein			ELD05_RS00270	1386	461	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	64457	65002	+							ELD05_RS14210	546		
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	64457	65002	+	WP_241243540.1	WP_241243540.1		hypothetical protein			ELD05_RS14210	546	181	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	65034	65384	+							ELD05_RS00280	351		old_locus_tag=ELD05_00280
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	65034	65384	+	WP_127350865.1	WP_127350865.1		hypothetical protein			ELD05_RS00280	351	116	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	65499	67982	+					cas10		ELD05_RS00285	2484		old_locus_tag=ELD05_00285
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	65499	67982	+	WP_127350866.1	WP_127350866.1		type III-A CRISPR-associated protein Cas10/Csm1	cas10		ELD05_RS00285	2484	827	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	68014	68424	+					csm2		ELD05_RS00290	411		old_locus_tag=ELD05_00290
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	68014	68424	+	WP_011915693.1	WP_011915693.1		type III-A CRISPR-associated protein Csm2	csm2		ELD05_RS00290	411	136	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	68452	69264	+					csm3		ELD05_RS00295	813		old_locus_tag=ELD05_00295
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	68452	69264	+	WP_127350867.1	WP_127350867.1		type III-A CRISPR-associated RAMP protein Csm3	csm3		ELD05_RS00295	813	270	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	69308	70318	+					csm4		ELD05_RS00300	1011		old_locus_tag=ELD05_00300
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	69308	70318	+	WP_127350868.1	WP_127350868.1		type III-A CRISPR-associated RAMP protein Csm4	csm4		ELD05_RS00300	1011	336	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	70308	71474	+					csm5		ELD05_RS00305	1167		old_locus_tag=ELD05_00305
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	70308	71474	+	WP_127350869.1	WP_127350869.1		type III-A CRISPR-associated RAMP protein Csm5	csm5		ELD05_RS00305	1167	388	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	71492	72094	+							ELD05_RS00310	603		old_locus_tag=ELD05_00310
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	71492	72094	+	WP_241243541.1	WP_241243541.1		hypothetical protein			ELD05_RS00310	603	200	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	72193	72330	+							ELD05_RS13905	138		
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	72193	72330	+	WP_164742550.1	WP_164742550.1		hypothetical protein			ELD05_RS13905	138	45	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	72411	72731	-							ELD05_RS00315	321		old_locus_tag=ELD05_00315
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	72411	72731	-	WP_241243542.1	WP_241243542.1		hypothetical protein			ELD05_RS00315	321	106	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	72862	73131	+							ELD05_RS13910	270		
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	72862	73131	+	WP_164742551.1	WP_164742551.1		hypothetical protein			ELD05_RS13910	270	89	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	73061	74290	-							ELD05_RS00320	1230		old_locus_tag=ELD05_00320
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	73061	74290	-	WP_127350872.1	WP_127350872.1		IS256 family transposase			ELD05_RS00320	1230	409	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	74373	76112	+							ELD05_RS00325	1740		old_locus_tag=ELD05_00325
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	74373	76112	+	WP_127350873.1	WP_127350873.1		hypothetical protein			ELD05_RS00325	1740	579	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	76188	76961	+							ELD05_RS00330	774		old_locus_tag=ELD05_00330
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	76188	76961	+	WP_127350874.1	WP_127350874.1		hypothetical protein			ELD05_RS00330	774	257	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	77026	78861	+							ELD05_RS00335	1836		old_locus_tag=ELD05_00335
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	77026	78861	+	WP_127350875.1	WP_127350875.1		hypothetical protein			ELD05_RS00335	1836	611	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	78967	79632	+							ELD05_RS00340	666		old_locus_tag=ELD05_00340
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	78967	79632	+	WP_127350876.1	WP_127350876.1		hypothetical protein			ELD05_RS00340	666	221	
gene	pseudogene	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	80446	81394	-							ELD05_RS00345	949		pseudo;old_locus_tag=ELD05_00345
CDS	without_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	80446	81394	-				transposase			ELD05_RS00345	949		pseudo
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	81676	84042	+							ELD05_RS00350	2367		old_locus_tag=ELD05_00350
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	81676	84042	+	WP_164742552.1	WP_164742552.1		DarT ssDNA thymidine ADP-ribosyltransferase family protein			ELD05_RS00350	2367	788	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	84033	84725	+							ELD05_RS00355	693		old_locus_tag=ELD05_00355
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	84033	84725	+	WP_127350878.1	WP_127350878.1		hypothetical protein			ELD05_RS00355	693	230	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	84761	87310	+							ELD05_RS00360	2550		old_locus_tag=ELD05_00360
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	84761	87310	+	WP_127350879.1	WP_127350879.1		UvrD-helicase domain-containing protein			ELD05_RS00360	2550	849	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	87312	87998	+							ELD05_RS00365	687		old_locus_tag=ELD05_00365
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	87312	87998	+	WP_127350880.1	WP_127350880.1		hypothetical protein			ELD05_RS00365	687	228	
gene	protein_coding	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	89183	90175	-							ELD05_RS00370	993		old_locus_tag=ELD05_00370
CDS	with_protein	GCF_003999255.1	Primary Assembly	chromosome		NZ_CP034791.1	89183	90175	-	WP_127350881.1	WP_127350881.1		Rpn family recombination-promoting nuclease/putative transposase			ELD05_RS00370	993	330	
