# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	38709	42293	+	WP_013429101.1	WP_013429101.1		hypothetical protein			CALKRO_RS00110	3585	1194	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	42311	43480	+							CALKRO_RS00115	1170		old_locus_tag=Calkro_0026
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	42311	43480	+	WP_013429102.1	WP_013429102.1		aminotransferase class V-fold PLP-dependent enzyme			CALKRO_RS00115	1170	389	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	43511	45700	+							CALKRO_RS00120	2190		old_locus_tag=Calkro_0027
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	43511	45700	+	WP_013429103.1	WP_013429103.1		DEAD/DEAH box helicase family protein			CALKRO_RS00120	2190	729	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	45684	45833	+							CALKRO_RS13585	150		old_locus_tag=Calkro_0028
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	45684	45833	+	WP_013429104.1	WP_013429104.1		hypothetical protein			CALKRO_RS13585	150	49	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	45830	46597	+							CALKRO_RS00125	768		
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	45830	46597	+	WP_041741447.1	WP_041741447.1		AAA family ATPase			CALKRO_RS00125	768	255	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	46606	47865	+							CALKRO_RS00130	1260		
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	46606	47865	+	WP_041741449.1	WP_041741449.1		hypothetical protein			CALKRO_RS00130	1260	419	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	47894	48424	+							CALKRO_RS00135	531		old_locus_tag=Calkro_0030
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	47894	48424	+	WP_013429105.1	WP_013429105.1		hypothetical protein			CALKRO_RS00135	531	176	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	48448	50583	+							CALKRO_RS00140	2136		old_locus_tag=Calkro_0031
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	48448	50583	+	WP_013429106.1	WP_013429106.1		DUF262 domain-containing protein			CALKRO_RS00140	2136	711	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	50813	51289	+							CALKRO_RS00145	477		old_locus_tag=Calkro_0032
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	50813	51289	+	WP_041741453.1	WP_041741453.1		pyridoxal-phosphate dependent enzyme			CALKRO_RS00145	477	158	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	51318	52841	-							CALKRO_RS00150	1524		old_locus_tag=Calkro_0033
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	51318	52841	-	WP_013429107.1	WP_013429107.1		WG repeat-containing protein			CALKRO_RS00150	1524	507	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	53090	53659	+							CALKRO_RS00155	570		old_locus_tag=Calkro_0034
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	53090	53659	+	WP_013429108.1	WP_013429108.1		LemA family protein			CALKRO_RS00155	570	189	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	53677	54540	+							CALKRO_RS00160	864		old_locus_tag=Calkro_0035
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	53677	54540	+	WP_013429109.1	WP_013429109.1		TPM domain-containing protein			CALKRO_RS00160	864	287	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	54580	55212	-					thiT		CALKRO_RS00165	633		old_locus_tag=Calkro_0036
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	54580	55212	-	WP_013429110.1	WP_013429110.1		energy-coupled thiamine transporter ThiT	thiT		CALKRO_RS00165	633	210	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	55367	56647	+							CALKRO_RS00170	1281		old_locus_tag=Calkro_0037
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	55367	56647	+	WP_013429111.1	WP_013429111.1		adenylosuccinate synthase			CALKRO_RS00170	1281	426	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	56812	58554	+							CALKRO_RS00175	1743		old_locus_tag=Calkro_0038
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	56812	58554	+	WP_013429112.1	WP_013429112.1		ABC transporter ATP-binding protein/permease			CALKRO_RS00175	1743	580	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	58586	60382	+							CALKRO_RS00180	1797		old_locus_tag=Calkro_0039
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	58586	60382	+	WP_013429113.1	WP_013429113.1		ABC transporter ATP-binding protein/permease			CALKRO_RS00180	1797	598	
gene	tRNA	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	60474	60549	+							CALKRO_RS00185	76		old_locus_tag=Calkro_R0001
tRNA		GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	60474	60549	+				tRNA-Lys			CALKRO_RS00185	76		anticodon=TTT
gene	tRNA	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	60572	60646	+							CALKRO_RS00190	75		old_locus_tag=Calkro_R0002
tRNA		GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	60572	60646	+				tRNA-Glu			CALKRO_RS00190	75		anticodon=TTC
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	60925	62058	+							CALKRO_RS00195	1134		old_locus_tag=Calkro_0040
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	60925	62058	+	WP_013429114.1	WP_013429114.1		aldo/keto reductase			CALKRO_RS00195	1134	377	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	62119	62700	-							CALKRO_RS00200	582		old_locus_tag=Calkro_0041
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	62119	62700	-	WP_237699105.1	WP_237699105.1		stage II sporulation protein M			CALKRO_RS00200	582	193	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	62850	63482	+							CALKRO_RS00205	633		old_locus_tag=Calkro_0042
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	62850	63482	+	WP_013429116.1	WP_013429116.1		MBL fold metallo-hydrolase			CALKRO_RS00205	633	210	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	63498	65714	+							CALKRO_RS00210	2217		old_locus_tag=Calkro_0043
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	63498	65714	+	WP_013429117.1	WP_013429117.1		O-antigen ligase family protein			CALKRO_RS00210	2217	738	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	65729	66838	+							CALKRO_RS00215	1110		old_locus_tag=Calkro_0044
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	65729	66838	+	WP_013429118.1	WP_013429118.1		glycosyltransferase			CALKRO_RS00215	1110	369	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	66984	67949	+							CALKRO_RS00220	966		old_locus_tag=Calkro_0045
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	66984	67949	+	WP_013429119.1	WP_013429119.1		glycosyltransferase			CALKRO_RS00220	966	321	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	67952	69382	+							CALKRO_RS00225	1431		old_locus_tag=Calkro_0046
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	67952	69382	+	WP_013429120.1	WP_013429120.1		O-antigen ligase family protein			CALKRO_RS00225	1431	476	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	69348	70172	+							CALKRO_RS00230	825		old_locus_tag=Calkro_0047
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	69348	70172	+	WP_013429121.1	WP_013429121.1		glycosyltransferase			CALKRO_RS00230	825	274	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	70228	71676	+							CALKRO_RS00235	1449		old_locus_tag=Calkro_0048
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	70228	71676	+	WP_013429122.1	WP_013429122.1		flippase			CALKRO_RS00235	1449	482	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	71666	72763	+					glf		CALKRO_RS00240	1098		old_locus_tag=Calkro_0049
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	71666	72763	+	WP_013429123.1	WP_013429123.1		UDP-galactopyranose mutase	glf		CALKRO_RS00240	1098	365	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	72925	74292	+							CALKRO_RS00245	1368		old_locus_tag=Calkro_0050
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	72925	74292	+	WP_049775603.1	WP_049775603.1		undecaprenyl-phosphate glucose phosphotransferase			CALKRO_RS00245	1368	455	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	74375	75019	+							CALKRO_RS00250	645		old_locus_tag=Calkro_0051
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	74375	75019	+	WP_013429125.1	WP_013429125.1		hypothetical protein			CALKRO_RS00250	645	214	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	75089	75634	-							CALKRO_RS00255	546		old_locus_tag=Calkro_0052
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	75089	75634	-	WP_013429126.1	WP_013429126.1		macro domain-containing protein			CALKRO_RS00255	546	181	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	75681	76034	-							CALKRO_RS00260	354		old_locus_tag=Calkro_0053
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	75681	76034	-	WP_013429127.1	WP_013429127.1		hypothetical protein			CALKRO_RS00260	354	117	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	76158	76451	-							CALKRO_RS00265	294		old_locus_tag=Calkro_0054
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	76158	76451	-	WP_013429128.1	WP_013429128.1		hypothetical protein			CALKRO_RS00265	294	97	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	76970	77551	+							CALKRO_RS00270	582		old_locus_tag=Calkro_0055
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	76970	77551	+	WP_013429129.1	WP_013429129.1		hypothetical protein			CALKRO_RS00270	582	193	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	77944	78654	+							CALKRO_RS00275	711		old_locus_tag=Calkro_0056
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	77944	78654	+	WP_013429130.1	WP_013429130.1		hypothetical protein			CALKRO_RS00275	711	236	
gene	pseudogene	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	79054	80278	-							CALKRO_RS13175	1225		pseudo;old_locus_tag=Calkro_0058
CDS	without_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	79054	80278	-				IS256 family transposase			CALKRO_RS13175	1225		pseudo
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	80393	81517	+							CALKRO_RS00290	1125		old_locus_tag=Calkro_0059
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	80393	81517	+	WP_013429132.1	WP_013429132.1		hypothetical protein			CALKRO_RS00290	1125	374	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	81691	83316	+							CALKRO_RS00295	1626		old_locus_tag=Calkro_0060
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	81691	83316	+	WP_013429133.1	WP_013429133.1		CTP synthase			CALKRO_RS00295	1626	541	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	83365	83853	-							CALKRO_RS00300	489		old_locus_tag=Calkro_0061
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	83365	83853	-	WP_013429134.1	WP_013429134.1		hypothetical protein			CALKRO_RS00300	489	162	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	84038	84730	+							CALKRO_RS00305	693		old_locus_tag=Calkro_0062
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	84038	84730	+	WP_013429135.1	WP_013429135.1		response regulator transcription factor			CALKRO_RS00305	693	230	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	84754	86469	+							CALKRO_RS00310	1716		old_locus_tag=Calkro_0063
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	84754	86469	+	WP_013429136.1	WP_013429136.1		ATP-binding protein			CALKRO_RS00310	1716	571	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	86558	87046	+							CALKRO_RS00315	489		old_locus_tag=Calkro_0064
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	86558	87046	+	WP_193345558.1	WP_193345558.1		hypothetical protein			CALKRO_RS00315	489	162	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	87064	88362	+					yycH		CALKRO_RS00320	1299		old_locus_tag=Calkro_0065
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	87064	88362	+	WP_013429138.1	WP_013429138.1		two-component system activity regulator YycH	yycH		CALKRO_RS00320	1299	432	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	88387	89115	+							CALKRO_RS00325	729		old_locus_tag=Calkro_0066
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	88387	89115	+	WP_013429139.1	WP_013429139.1		hypothetical protein			CALKRO_RS00325	729	242	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	89338	90294	+							CALKRO_RS00330	957		old_locus_tag=Calkro_0067
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	89338	90294	+	WP_013429140.1	WP_013429140.1		ABC transporter permease subunit			CALKRO_RS00330	957	318	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	90342	91226	+							CALKRO_RS00335	885		old_locus_tag=Calkro_0068
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	90342	91226	+	WP_013429141.1	WP_013429141.1		carbohydrate ABC transporter permease			CALKRO_RS00335	885	294	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	91318	92931	+							CALKRO_RS00340	1614		old_locus_tag=Calkro_0069
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	91318	92931	+	WP_013429142.1	WP_013429142.1		extracellular solute-binding protein			CALKRO_RS00340	1614	537	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	93103	94929	+							CALKRO_RS00345	1827		old_locus_tag=Calkro_0070
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	93103	94929	+	WP_013429143.1	WP_013429143.1		histidine kinase			CALKRO_RS00345	1827	608	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	94965	96512	+							CALKRO_RS00350	1548		old_locus_tag=Calkro_0071
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	94965	96512	+	WP_013429144.1	WP_013429144.1		response regulator			CALKRO_RS00350	1548	515	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	96678	101876	+							CALKRO_RS00355	5199		old_locus_tag=Calkro_0072
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	96678	101876	+	WP_013429145.1	WP_013429145.1		carbohydrate binding domain-containing protein			CALKRO_RS00355	5199	1732	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	101988	105221	+							CALKRO_RS00360	3234		old_locus_tag=Calkro_0073
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	101988	105221	+	WP_013429146.1	WP_013429146.1		hypothetical protein			CALKRO_RS00360	3234	1077	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	105309	107078	+							CALKRO_RS00365	1770		old_locus_tag=Calkro_0074
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	105309	107078	+	WP_013429147.1	WP_013429147.1		histidine kinase			CALKRO_RS00365	1770	589	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	107050	107805	+							CALKRO_RS00370	756		old_locus_tag=Calkro_0075
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	107050	107805	+	WP_013429148.1	WP_013429148.1		response regulator			CALKRO_RS00370	756	251	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	107898	109202	+							CALKRO_RS00375	1305		old_locus_tag=Calkro_0076
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	107898	109202	+	WP_041741831.1	WP_041741831.1		extracellular solute-binding protein			CALKRO_RS00375	1305	434	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	109293	110180	+							CALKRO_RS00380	888		old_locus_tag=Calkro_0077
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	109293	110180	+	WP_237699106.1	WP_237699106.1		sugar ABC transporter permease			CALKRO_RS00380	888	295	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	110202	111050	+							CALKRO_RS00385	849		old_locus_tag=Calkro_0078
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	110202	111050	+	WP_013429151.1	WP_013429151.1		carbohydrate ABC transporter permease			CALKRO_RS00385	849	282	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	111182	114337	+							CALKRO_RS00390	3156		old_locus_tag=Calkro_0079
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	111182	114337	+	WP_013429152.1	WP_013429152.1		discoidin domain-containing protein			CALKRO_RS00390	3156	1051	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	114809	115468	+							CALKRO_RS00395	660		old_locus_tag=Calkro_0080
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	114809	115468	+	WP_013429153.1	WP_013429153.1		hypothetical protein			CALKRO_RS00395	660	219	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	115754	116830	+							CALKRO_RS00400	1077		old_locus_tag=Calkro_0081
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	115754	116830	+	WP_013429154.1	WP_013429154.1		glycoside hydrolase family 11 protein			CALKRO_RS00400	1077	358	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	117717	118166	+							CALKRO_RS13590	450		old_locus_tag=Calkro_0083
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	117717	118166	+	WP_013429156.1	WP_013429156.1		hypothetical protein			CALKRO_RS13590	450	149	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	118401	119822	+							CALKRO_RS00415	1422		old_locus_tag=Calkro_0084
