# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	31803	34187	+							COB47_RS00155	2385		old_locus_tag=COB47_0033
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	31803	34187	+	WP_013289418.1	WP_013289418.1		hypothetical protein			COB47_RS00155	2385	794	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	34189	35121	+							COB47_RS00160	933		old_locus_tag=COB47_0034
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	34189	35121	+	WP_013289419.1	WP_013289419.1		ABC transporter ATP-binding protein			COB47_RS00160	933	310	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	35108	36049	+							COB47_RS00165	942		old_locus_tag=COB47_0035
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	35108	36049	+	WP_237698925.1	WP_237698925.1		ABC transporter permease			COB47_RS00165	942	313	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	36066	37517	+							COB47_RS00170	1452		old_locus_tag=COB47_0036
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	36066	37517	+	WP_013289421.1	WP_013289421.1		hypothetical protein			COB47_RS00170	1452	483	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	37531	38502	+							COB47_RS00175	972		old_locus_tag=COB47_0037
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	37531	38502	+	WP_237698926.1	WP_237698926.1		MoxR family ATPase			COB47_RS00175	972	323	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	38532	39398	+							COB47_RS00180	867		old_locus_tag=COB47_0038
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	38532	39398	+	WP_013289423.1	WP_013289423.1		DUF58 domain-containing protein			COB47_RS00180	867	288	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	39395	41212	+							COB47_RS00185	1818		old_locus_tag=COB47_0039
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	39395	41212	+	WP_013289424.1	WP_013289424.1		BatA and WFA domain-containing protein			COB47_RS00185	1818	605	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	41196	43898	+							COB47_RS00190	2703		old_locus_tag=COB47_0040
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	41196	43898	+	WP_013289425.1	WP_013289425.1		VWA domain-containing protein			COB47_RS00190	2703	900	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	43984	45264	+							COB47_RS00195	1281		old_locus_tag=COB47_0041
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	43984	45264	+	WP_013289426.1	WP_013289426.1		adenylosuccinate synthase			COB47_RS00195	1281	426	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	45431	47173	+							COB47_RS00200	1743		old_locus_tag=COB47_0042
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	45431	47173	+	WP_013289427.1	WP_013289427.1		ABC transporter ATP-binding protein/permease			COB47_RS00200	1743	580	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	47203	48999	+							COB47_RS00205	1797		old_locus_tag=COB47_0043
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	47203	48999	+	WP_013289428.1	WP_013289428.1		ABC transporter ATP-binding protein/permease			COB47_RS00205	1797	598	
gene	tRNA	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	49082	49157	+							COB47_RS00210	76		old_locus_tag=COB47_R0001
tRNA		GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	49082	49157	+				tRNA-Lys			COB47_RS00210	76		anticodon=TTT
gene	tRNA	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	49180	49254	+							COB47_RS00215	75		old_locus_tag=COB47_R0002
tRNA		GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	49180	49254	+				tRNA-Glu			COB47_RS00215	75		anticodon=TTC
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	49257	49832	-							COB47_RS00220	576		old_locus_tag=COB47_0044
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	49257	49832	-	WP_013289429.1	WP_013289429.1		stage II sporulation protein M			COB47_RS00220	576	191	
gene	pseudogene	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	50054	50665	+							COB47_RS00225	612		pseudo;old_locus_tag=COB47_0045
CDS	without_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	50054	50665	+				IS607 family transposase			COB47_RS00225	612		pseudo
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	50634	52172	+							COB47_RS00230	1539		old_locus_tag=COB47_0046
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	50634	52172	+	WP_013289430.1	WP_013289430.1		IS200/IS605 family accessory protein TnpB-related protein			COB47_RS00230	1539	512	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	52249	52881	+							COB47_RS00235	633		old_locus_tag=COB47_0047
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	52249	52881	+	WP_013289431.1	WP_013289431.1		MBL fold metallo-hydrolase			COB47_RS00235	633	210	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	52897	55104	+							COB47_RS00240	2208		old_locus_tag=COB47_0048
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	52897	55104	+	WP_013289432.1	WP_013289432.1		O-antigen ligase family protein			COB47_RS00240	2208	735	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	55137	55928	+							COB47_RS00245	792		old_locus_tag=COB47_0049
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	55137	55928	+	WP_013289433.1	WP_013289433.1		ABC transporter permease			COB47_RS00245	792	263	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	55960	56694	+							COB47_RS00250	735		old_locus_tag=COB47_0050
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	55960	56694	+	WP_013289434.1	WP_013289434.1		ABC transporter ATP-binding protein			COB47_RS00250	735	244	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	56739	57470	+							COB47_RS00255	732		old_locus_tag=COB47_0051
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	56739	57470	+	WP_013289435.1	WP_013289435.1		NTP transferase domain-containing protein			COB47_RS00255	732	243	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	57492	57953	+							COB47_RS00260	462		old_locus_tag=COB47_0052
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	57492	57953	+	WP_013289436.1	WP_013289436.1		dTDP-4-dehydrorhamnose 3,5-epimerase family protein			COB47_RS00260	462	153	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	57969	58919	+					rfbB		COB47_RS00265	951		old_locus_tag=COB47_0053
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	57969	58919	+	WP_013289437.1	WP_013289437.1		dTDP-glucose 4,6-dehydratase	rfbB		COB47_RS00265	951	316	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	59087	60292	+							COB47_RS00270	1206		old_locus_tag=COB47_0054
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	59087	60292	+	WP_013289438.1	WP_013289438.1		glycosyltransferase			COB47_RS00270	1206	401	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	60341	61330	+							COB47_RS00275	990		old_locus_tag=COB47_0055
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	60341	61330	+	WP_013289439.1	WP_013289439.1		glycosyltransferase			COB47_RS00275	990	329	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	61366	62376	+							COB47_RS00280	1011		old_locus_tag=COB47_0056
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	61366	62376	+	WP_013289440.1	WP_013289440.1		glycosyltransferase family 2 protein			COB47_RS00280	1011	336	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	62373	63218	+					rfbD		COB47_RS00285	846		old_locus_tag=COB47_0057
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	62373	63218	+	WP_013289441.1	WP_013289441.1		dTDP-4-dehydrorhamnose reductase	rfbD		COB47_RS00285	846	281	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	63219	64109	+							COB47_RS00290	891		old_locus_tag=COB47_0058
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	63219	64109	+	WP_013289442.1	WP_013289442.1		glycosyltransferase family 2 protein			COB47_RS00290	891	296	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	64102	65475	+							COB47_RS00295	1374		old_locus_tag=COB47_0059
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	64102	65475	+	WP_013289443.1	WP_013289443.1		undecaprenyl-phosphate glucose phosphotransferase			COB47_RS00295	1374	457	
gene	pseudogene	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	65568	66159	+							COB47_RS00300	592		pseudo;old_locus_tag=COB47_0060
CDS	without_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	65568	66159	+				hypothetical protein			COB47_RS00300	592		pseudo
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	66270	66815	-							COB47_RS00305	546		old_locus_tag=COB47_0061
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	66270	66815	-	WP_013289444.1	WP_013289444.1		macro domain-containing protein			COB47_RS00305	546	181	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	66836	67210	-							COB47_RS00310	375		old_locus_tag=COB47_0062
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	66836	67210	-	WP_013289445.1	WP_013289445.1		hypothetical protein			COB47_RS00310	375	124	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	67542	72866	+							COB47_RS00315	5325		old_locus_tag=COB47_0063
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	67542	72866	+	WP_013289446.1	WP_013289446.1		S-layer homology domain-containing protein			COB47_RS00315	5325	1774	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	73077	74711	+							COB47_RS00320	1635		old_locus_tag=COB47_0064
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	73077	74711	+	WP_013289447.1	WP_013289447.1		CTP synthase			COB47_RS00320	1635	544	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	74780	74980	+							COB47_RS12340	201		
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	74780	74980	+	WP_193343283.1	WP_193343283.1		hypothetical protein			COB47_RS12340	201	66	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	75406	76098	+							COB47_RS00330	693		old_locus_tag=COB47_0066
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	75406	76098	+	WP_013289449.1	WP_013289449.1		response regulator transcription factor			COB47_RS00330	693	230	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	76122	77822	+							COB47_RS00335	1701		old_locus_tag=COB47_0067
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	76122	77822	+	WP_013289450.1	WP_013289450.1		ATP-binding protein			COB47_RS00335	1701	566	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	77923	78411	+							COB47_RS00340	489		old_locus_tag=COB47_0068
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	77923	78411	+	WP_013289451.1	WP_013289451.1		hypothetical protein			COB47_RS00340	489	162	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	78430	79728	+					yycH		COB47_RS00345	1299		old_locus_tag=COB47_0069
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	78430	79728	+	WP_013289452.1	WP_013289452.1		two-component system activity regulator YycH	yycH		COB47_RS00345	1299	432	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	79753	80481	+							COB47_RS00350	729		old_locus_tag=COB47_0070
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	79753	80481	+	WP_013289453.1	WP_013289453.1		two-component system regulatory protein YycI			COB47_RS00350	729	242	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	80702	81658	+							COB47_RS00355	957		old_locus_tag=COB47_0071
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	80702	81658	+	WP_013289454.1	WP_013289454.1		ABC transporter permease subunit			COB47_RS00355	957	318	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	81706	82590	+							COB47_RS00360	885		old_locus_tag=COB47_0072
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	81706	82590	+	WP_013289455.1	WP_013289455.1		carbohydrate ABC transporter permease			COB47_RS00360	885	294	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	82684	84297	+							COB47_RS00365	1614		old_locus_tag=COB47_0073
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	82684	84297	+	WP_013289456.1	WP_013289456.1		extracellular solute-binding protein			COB47_RS00365	1614	537	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	84465	86291	+							COB47_RS00370	1827		old_locus_tag=COB47_0074
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	84465	86291	+	WP_013289457.1	WP_013289457.1		histidine kinase			COB47_RS00370	1827	608	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	86325	87872	+							COB47_RS00375	1548		old_locus_tag=COB47_0075
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	86325	87872	+	WP_013289458.1	WP_013289458.1		response regulator			COB47_RS00375	1548	515	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	88037	93235	+							COB47_RS00380	5199		old_locus_tag=COB47_0076
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	88037	93235	+	WP_013289459.1	WP_013289459.1		carbohydrate binding domain-containing protein			COB47_RS00380	5199	1732	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	93344	96577	+							COB47_RS00385	3234		old_locus_tag=COB47_0077
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	93344	96577	+	WP_013289460.1	WP_013289460.1		hypothetical protein			COB47_RS00385	3234	1077	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	96660	97082	+							COB47_RS12390	423		old_locus_tag=COB47_0078
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	96660	97082	+	WP_013289461.1	WP_013289461.1		hypothetical protein			COB47_RS12390	423	140	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	97084	99150	+							COB47_RS12395	2067		old_locus_tag=COB47_0079
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	97084	99150	+	WP_013289462.1	WP_013289462.1		response regulator			COB47_RS12395	2067	688	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	99242	100546	+							COB47_RS00400	1305		old_locus_tag=COB47_0080
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	99242	100546	+	WP_013289463.1	WP_013289463.1		extracellular solute-binding protein			COB47_RS00400	1305	434	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	100633	101511	+							COB47_RS00405	879		old_locus_tag=COB47_0081
CDS	with_protein	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	100633	101511	+	WP_013289464.1	WP_013289464.1		sugar ABC transporter permease			COB47_RS00405	879	292	
gene	protein_coding	GCF_000145215.1	Primary Assembly	chromosome		NC_014392.1	101532	102380	+							COB47_RS00410	849		old_locus_tag=COB47_0082
